Record_ID,Year,State,District,Crop,Season,Area_Hectares,Annual_Rainfall_mm,Avg_Temperature_C,Humidity_Percent,Soil_N_kg_per_ha,Soil_P_kg_per_ha,Soil_K_kg_per_ha,Soil_pH,Fertilizer_Usage_kg_per_ha,Pesticide_Usage_kg_per_ha,Yield_tonnes_per_ha
REC_2024_000001,2024,Andhra Pradesh,Visakhapatnam,Sugarcane,Kharif,1636.16,704.39,35.35,69.2,193.56,24.38,171.45,6.51,145.75,2.22,51.943
REC_2024_000002,2024,Gujarat,Vadodara,Cotton,Kharif,223.33,706.69,29.91,83.76,259.71,36.47,166.81,6.44,173.16,1.72,2.282
REC_2017_000003,2017,Andhra Pradesh,Visakhapatnam,Sugarcane,Whole Year,3159.32,878.7,29.75,59.25,294.6,68.34,243.71,6.93,170.86,2.11,138.638
REC_2019_000004,2019,Haryana,Sirsa,Groundnut,Whole Year,247.78,376.5,25.43,59.95,284.39,45.73,223.97,6.68,118.18,2.47,2.964
REC_2016_000005,2016,Haryana,Karnal,Groundnut,Kharif,1088.66,792.35,22.13,62.1,254.83,22.55,186.59,7.38,167.85,2.17,1.858
REC_2021_000006,2021,West Bengal,Hooghly,Rice,Kharif,411.77,1565.67,26.04,80.78,140.62,32.36,206.07,7.69,121.86,2.03,2.482
REC_2019_000007,2019,Tamil Nadu,Salem,Rice,Kharif,2947.98,961.05,25.94,68.47,170.06,30.87,223.79,6.6,109.84,2.88,3.465
REC_2018_000008,2018,West Bengal,Nadia,Sugarcane,Whole Year,1080.01,1572.86,23.0,96.53,232.33,24.12,153.22,6.51,120.06,1.67,49.49
REC_2023_000009,2023,Gujarat,Vadodara,Cotton,Zaid,428.63,626.94,24.82,62.87,218.37,27.09,190.18,7.09,130.93,2.17,1.512
REC_2020_000010,2020,Tamil Nadu,Salem,Millets,Kharif,951.62,1111.01,27.02,75.03,238.91,49.62,172.47,6.53,153.24,2.83,1.109
REC_2012_000011,2012,Madhya Pradesh,Ujjain,Rice,Whole Year,2139.38,858.79,28.52,52.18,317.5,25.6,175.51,7.29,96.92,3.29,4.763
REC_2023_000012,2023,Haryana,Karnal,Groundnut,Kharif,2383.99,553.55,25.58,63.2,186.76,36.3,194.76,7.35,132.06,2.88,2.267
REC_2022_000013,2022,West Bengal,Murshidabad,Wheat,Rabi,1631.59,1524.26,20.81,81.28,239.21,19.04,188.86,7.61,114.29,2.53,1.052
REC_2015_000014,2015,Uttar Pradesh,Gorakhpur,Maize,Zaid,3485.3,952.34,30.65,62.75,376.01,42.51,151.43,6.16,156.89,2.1,4.377
REC_2010_000015,2010,Maharashtra,Nagpur,Cotton,Kharif,451.9,979.09,25.59,67.05,152.55,18.9,117.02,6.11,188.64,1.38,0.665
REC_2020_000016,2020,Karnataka,Mandya,Wheat,Zaid,1359.66,1262.92,24.57,71.59,252.86,35.29,229.24,7.66,140.26,2.96,2.865
REC_2011_000017,2011,Uttar Pradesh,Agra,Rice,Kharif,480.19,733.98,29.84,66.27,247.05,39.25,105.39,7.38,122.12,2.16,3.271
REC_2013_000018,2013,Tamil Nadu,Tiruchirappalli,Groundnut,Kharif,171.95,842.21,30.35,60.88,140.47,24.71,227.8,7.87,116.29,2.11,1.371
REC_2022_000019,2022,Tamil Nadu,Coimbatore,Groundnut,Kharif,871.34,1361.99,32.3,59.09,215.79,50.2,158.15,7.07,167.11,2.18,1.178
REC_2023_000020,2023,Andhra Pradesh,Visakhapatnam,Wheat,Rabi,1389.97,1213.83,23.92,66.26,246.54,52.3,125.39,7.5,140.36,2.04,2.8
REC_2012_000021,2012,Madhya Pradesh,Jabalpur,Rice,Kharif,2336.23,1433.95,20.75,58.71,269.42,38.37,161.98,6.68,122.74,1.7,3.364
REC_2020_000022,2020,Maharashtra,Nashik,Sugarcane,Whole Year,445.24,1230.76,27.25,49.16,309.48,57.45,265.96,,153.4,3.03,124.771
REC_2016_000023,2016,Maharashtra,Aurangabad,Wheat,Kharif,1455.27,1037.17,23.21,65.23,402.7,16.46,152.08,7.04,135.64,1.13,1.64
REC_2021_000024,2021,Maharashtra,Solapur,Maize,Kharif,799.07,,30.03,73.31,271.42,34.85,149.62,6.85,116.3,1.95,3.076
REC_2019_000025,2019,Haryana,Rohtak,Wheat,Kharif,204.63,502.01,25.65,59.75,283.63,48.85,168.52,6.4,187.6,2.45,6.185
REC_2016_000026,2016,Gujarat,Ahmedabad,Maize,Kharif,425.39,716.64,23.23,75.52,263.58,42.77,214.12,7.3,179.67,1.76,2.753
REC_2014_000027,2014,West Bengal,Burdwan,Pulses,Whole Year,6676.2,1558.21,28.25,77.73,234.81,45.12,142.02,6.38,106.15,1.48,0.732
REC_2021_000028,2021,Andhra Pradesh,Guntur,Maize,Whole Year,197.11,900.03,31.62,57.65,279.2,33.11,129.02,,76.65,2.47,2.8
REC_2022_000029,2022,Punjab,Bathinda,Cotton,Kharif,885.57,627.9,26.08,64.63,247.55,20.22,198.53,7.64,124.34,1.71,1.902
REC_2011_000030,2011,Punjab,Bathinda,Wheat,Rabi,669.49,689.36,22.45,71.93,251.26,37.0,226.34,7.35,168.45,1.61,4.355
REC_2022_000031,2022,Punjab,Patiala,Sugarcane,Whole Year,4229.44,710.47,25.58,57.99,218.7,50.31,185.88,7.36,120.07,1.75,100.078
REC_2023_000032,2023,Andhra Pradesh,Chittoor,Sugarcane,Zaid,1051.42,962.02,31.07,70.46,252.02,44.88,282.36,6.95,124.12,2.89,114.139
REC_2010_000033,2010,Andhra Pradesh,Krishna,Maize,Whole Year,1024.72,1138.19,28.04,71.09,215.93,21.22,162.9,5.71,172.01,4.07,2.411
REC_2013_000034,2013,Tamil Nadu,Salem,Groundnut,Kharif,377.31,968.72,32.06,63.62,265.2,28.64,154.32,6.74,103.77,2.25,1.015
REC_2024_000035,2024,West Bengal,Hooghly,Wheat,Rabi,652.38,1703.24,25.01,73.74,268.98,28.43,134.74,8.22,129.12,3.52,1.176
REC_2012_000036,2012,Karnataka,Mysuru,Millets,Rabi,212.12,1035.52,29.39,61.59,228.66,25.75,215.93,7.51,147.82,0.95,1.068
REC_2019_000037,2019,Madhya Pradesh,Indore,Cotton,Kharif,2858.88,1513.2,25.0,63.41,322.35,52.75,279.38,5.89,100.24,1.07,1.402
REC_2010_000038,2010,Tamil Nadu,Tiruchirappalli,Wheat,Rabi,1640.04,868.92,24.97,82.1,237.93,37.09,230.85,6.79,155.8,2.65,5.064
REC_2022_000039,2022,Karnataka,Belagavi,Maize,Rabi,563.93,1215.3,23.89,84.7,253.3,32.44,196.23,7.26,140.38,0.82,3.106
REC_2016_000040,2016,Karnataka,Belagavi,Sugarcane,Whole Year,730.15,1212.79,23.26,89.31,209.78,32.44,197.18,7.07,162.53,1.79,62.104
REC_2022_000041,2022,Punjab,Jalandhar,Groundnut,Kharif,2616.64,542.99,25.88,55.29,224.05,41.52,236.57,5.48,152.63,3.16,2.256
REC_2015_000042,2015,Andhra Pradesh,Kurnool,Sugarcane,Whole Year,777.76,1279.65,23.45,59.71,159.33,26.03,192.47,6.95,86.43,3.17,50.418
REC_2024_000043,2024,Gujarat,Vadodara,Millets,Kharif,2612.4,993.87,28.26,57.86,260.19,21.9,153.23,7.71,154.07,3.03,0.891
REC_2013_000044,2013,Madhya Pradesh,Gwalior,Groundnut,Kharif,448.1,970.03,28.21,66.43,193.89,45.44,251.0,7.05,205.69,1.35,2.183
REC_2020_000045,2020,Gujarat,Ahmedabad,Pulses,Rabi,298.61,852.5,36.46,60.28,242.35,56.39,216.56,6.93,155.47,3.71,1.198
REC_2023_000046,2023,Tamil Nadu,Madurai,Sugarcane,Rabi,672.3,867.06,27.41,75.56,220.54,20.18,140.53,7.12,92.45,1.56,59.996
REC_2018_000047,2018,West Bengal,Midnapore,Rice,Kharif,3026.77,1739.32,26.21,79.44,280.37,45.09,188.27,6.53,142.89,2.58,4.574
REC_2010_000048,2010,Madhya Pradesh,Gwalior,Groundnut,Kharif,382.72,1382.81,30.61,57.71,184.67,65.88,192.66,6.81,139.16,2.11,1.942
REC_2023_000049,2023,Punjab,Bathinda,Sugarcane,Zaid,3605.09,899.94,15.49,40.33,177.97,20.87,199.17,6.97,131.08,1.07,34.883
REC_2016_000050,2016,Haryana,Rohtak,Wheat,Whole Year,225.69,748.42,29.07,61.13,183.55,28.71,212.02,6.07,164.95,2.85,2.222
REC_2013_000051,2013,Karnataka,Mysuru,Groundnut,Rabi,474.47,981.7,23.5,54.81,328.23,20.1,153.27,7.59,78.64,1.18,1.466
REC_2021_000052,2021,West Bengal,Hooghly,Sugarcane,Whole Year,1540.16,1579.95,23.88,79.83,256.68,34.23,129.58,7.82,143.07,1.11,47.435
REC_2013_000053,2013,Tamil Nadu,Madurai,Pulses,Rabi,723.53,1033.52,30.99,80.08,266.98,51.16,195.71,6.34,139.88,3.65,0.779
REC_2014_000054,2014,Maharashtra,Nashik,Pulses,Rabi,1868.38,1314.05,24.57,74.05,173.36,68.13,180.29,6.61,180.01,0.72,0.843
REC_2012_000055,2012,Tamil Nadu,Madurai,Wheat,Rabi,274.03,939.5,32.86,73.96,261.62,41.49,195.98,7.11,135.86,0.8,2.396
REC_2013_000056,2013,Madhya Pradesh,Ujjain,Maize,Kharif,439.48,1510.82,26.69,69.77,204.84,34.58,269.69,6.42,203.44,2.6,4.482
REC_2012_000057,2012,Uttar Pradesh,Lucknow,Cotton,Kharif,4829.54,1069.47,29.23,57.62,242.24,50.41,221.01,7.3,187.88,2.41,3.006
REC_2019_000058,2019,Gujarat,Rajkot,Sugarcane,Whole Year,2476.97,897.33,28.66,64.31,176.16,22.03,237.39,6.78,163.85,1.83,84.856
REC_2024_000059,2024,Gujarat,Rajkot,Pulses,Rabi,1027.67,665.96,36.77,62.68,290.67,10.04,132.21,7.6,151.12,3.18,0.639
REC_2021_000060,2021,Punjab,Bathinda,Rice,Kharif,5068.48,778.41,24.15,68.4,205.83,28.88,78.19,7.35,150.99,1.84,2.989
REC_2010_000061,2010,Andhra Pradesh,Visakhapatnam,Sugarcane,Whole Year,3693.95,865.94,25.92,61.45,187.45,11.8,135.67,6.16,163.89,2.99,41.69
REC_2022_000062,2022,Karnataka,Mysuru,Pulses,Zaid,1914.69,1129.96,28.08,71.46,362.77,27.35,166.11,6.43,120.56,1.8,0.671
REC_2012_000063,2012,Andhra Pradesh,Guntur,Wheat,Rabi,482.53,614.18,29.07,54.44,398.37,61.83,160.03,5.45,109.26,1.72,3.01
REC_2018_000064,2018,Haryana,Rohtak,Rice,Kharif,1116.45,602.53,25.73,46.79,197.33,35.55,161.61,7.34,141.26,2.64,4.113
REC_2017_000065,2017,Punjab,Patiala,Groundnut,Kharif,106.19,602.08,23.14,48.06,202.87,23.86,216.75,7.42,136.68,1.77,1.602
REC_2011_000066,2011,Andhra Pradesh,Krishna,Cotton,Kharif,499.79,779.22,26.53,67.89,210.26,23.11,196.95,6.67,146.64,2.16,1.578
REC_2024_000067,2024,Haryana,Rohtak,Cotton,Kharif,1351.5,480.0,26.57,59.17,209.81,32.19,273.11,6.45,206.88,0.84,2.22
REC_2019_000068,2019,Punjab,Patiala,Maize,Kharif,413.72,629.66,20.08,58.76,298.3,28.49,229.47,7.08,160.22,2.54,3.476
REC_2015_000069,2015,Maharashtra,Nagpur,Cotton,Kharif,4237.7,1141.79,28.28,65.95,257.6,19.98,254.97,6.75,179.11,2.42,2.013
REC_2011_000070,2011,Maharashtra,Nagpur,Pulses,Zaid,310.4,1033.0,30.5,66.63,172.94,17.89,217.28,5.91,151.07,1.14,0.498
REC_2022_000071,2022,Haryana,Ambala,Groundnut,Kharif,1759.54,933.31,23.77,57.79,236.39,45.82,247.36,6.95,156.42,1.94,2.303
REC_2010_000072,2010,Tamil Nadu,Salem,Cotton,Kharif,1503.35,822.26,29.12,69.71,235.69,32.85,157.07,6.92,102.81,1.74,1.84
REC_2017_000073,2017,Andhra Pradesh,Visakhapatnam,Wheat,Rabi,2139.88,1246.16,29.65,73.34,274.07,28.05,239.01,6.87,173.26,3.86,2.739
REC_2023_000074,2023,West Bengal,Nadia,Rice,Kharif,6830.36,1364.32,25.31,85.26,296.47,70.58,185.65,6.24,166.37,2.23,6.611
REC_2022_000075,2022,Gujarat,Surat,Maize,Kharif,1650.31,1016.39,27.65,69.93,283.66,12.63,149.43,5.86,210.06,3.06,3.073
REC_2016_000076,2016,Haryana,Rohtak,Pulses,Rabi,2976.7,724.09,25.57,59.53,177.31,51.52,224.97,7.04,116.0,1.76,1.156
REC_2015_000077,2015,Haryana,Sirsa,Sugarcane,Whole Year,4284.59,677.85,23.81,61.56,97.57,48.79,111.71,6.58,100.81,2.85,40.876
REC_2013_000078,2013,Punjab,Jalandhar,Groundnut,Zaid,1163.74,727.97,23.04,41.69,207.11,58.41,163.45,,99.92,1.16,1.685
REC_2014_000079,2014,Maharashtra,Solapur,Cotton,Whole Year,3410.06,1215.28,31.66,65.42,258.99,31.08,165.21,6.83,115.94,2.79,1.685
REC_2012_000080,2012,Maharashtra,Pune,Wheat,Rabi,136.52,1175.08,28.95,66.86,294.29,9.79,322.2,6.28,154.12,3.09,1.921
REC_2017_000081,2017,Gujarat,Vadodara,Millets,Kharif,1855.91,690.26,29.55,68.84,179.05,34.38,198.85,6.91,145.84,2.36,1.387
REC_2012_000082,2012,Madhya Pradesh,Indore,Wheat,Rabi,1104.47,1344.02,23.33,62.57,202.29,34.23,204.79,6.99,154.77,2.65,3.536
REC_2012_000083,2012,Tamil Nadu,Salem,Pulses,Rabi,1229.41,914.44,31.41,69.28,287.41,46.76,129.93,7.47,88.83,0.58,0.743
REC_2010_000084,2010,West Bengal,Burdwan,Wheat,Rabi,2354.09,1557.5,26.26,83.83,187.55,35.03,262.92,7.17,142.04,0.9,2.365
REC_2016_000085,2016,Madhya Pradesh,Ujjain,Groundnut,Rabi,882.83,1082.3,32.83,57.7,303.09,36.55,207.1,6.07,123.13,1.83,1.691
REC_2023_000086,2023,Madhya Pradesh,Gwalior,Cotton,Kharif,339.82,1082.38,31.45,67.81,161.47,23.12,232.33,6.21,132.14,1.42,1.317
REC_2022_000087,2022,Andhra Pradesh,Guntur,Rice,Kharif,2152.36,916.47,30.27,71.9,308.21,36.5,170.68,6.87,159.02,1.97,4.851
REC_2019_000088,2019,West Bengal,Hooghly,Groundnut,Kharif,2089.91,1581.77,27.85,66.25,258.75,47.84,148.92,7.06,171.23,1.75,1.645
REC_2024_000089,2024,Andhra Pradesh,Krishna,Sugarcane,Whole Year,456.28,905.55,,58.85,247.21,22.24,156.7,7.14,98.35,1.76,64.478
REC_2012_000090,2012,West Bengal,Hooghly,Groundnut,Kharif,1877.37,1438.79,33.07,94.52,219.37,39.68,244.18,7.21,130.43,2.85,0.849
REC_2017_000091,2017,Madhya Pradesh,Ujjain,Wheat,Rabi,1178.18,1259.15,22.04,70.53,229.25,28.75,199.24,5.99,168.84,1.32,2.839
REC_2015_000092,2015,Gujarat,Surat,Pulses,Rabi,324.29,550.07,23.75,61.9,245.67,45.42,109.18,7.59,164.3,0.96,0.831
REC_2021_000093,2021,Andhra Pradesh,Visakhapatnam,Wheat,Zaid,263.96,723.38,27.49,80.31,247.09,62.83,207.7,6.92,129.18,2.6,5.355
REC_2013_000094,2013,Haryana,Sirsa,Pulses,Rabi,3121.79,438.52,20.74,39.39,265.4,21.76,93.12,7.03,227.25,2.4,1.149
REC_2021_000095,2021,Maharashtra,Aurangabad,Rice,Rabi,567.26,1544.54,29.68,71.17,340.1,26.56,209.53,7.15,121.72,2.77,4.268
REC_2015_000096,2015,Haryana,Karnal,Sugarcane,Whole Year,946.53,395.78,25.97,57.44,234.22,41.12,234.9,6.76,103.19,2.11,77.009
REC_2021_000097,2021,Madhya Pradesh,Bhopal,Sugarcane,Whole Year,255.29,1147.22,22.9,51.78,260.86,26.74,187.18,6.46,125.62,1.71,54.442
REC_2016_000098,2016,Punjab,Jalandhar,Cotton,Kharif,1373.84,518.1,21.75,62.17,188.6,40.65,222.86,6.54,186.45,2.5,1.252
REC_2015_000099,2015,Tamil Nadu,Tiruchirappalli,Sugarcane,Zaid,239.48,876.23,20.71,67.36,259.59,17.25,198.25,6.79,160.28,0.63,70.599
REC_2023_000100,2023,Madhya Pradesh,Gwalior,Rice,Kharif,3830.27,1260.28,24.24,40.43,217.75,24.5,87.56,6.97,147.25,1.66,3.146
